id;titulo;temas;fontes;tags;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
147;ShapeFile dos Setores censitários do município Casimiro de Abreu / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Casimiro de Abreu / RJ / Sudeste;Casimiro_de_Abreu.zip;2000;
148;ShapeFile dos Setores censitários do município Castanhal / PA / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Castanhal / PA / Norte;Castanhal.zip;2000;
149;ShapeFile dos Setores censitários do município Caucaia / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Caucaia / CE / Nordeste;Caucaia.zip;2000;
150;ShapeFile dos Setores censitários do município Caxias do Sul / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Caxias do Sul / RS / Sul;Caxias_do_Sul.zip;2000;
151;ShapeFile dos Setores censitários do município Ceará-Mirim / RN / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Ceará-Mirim / RN / Nordeste;Ceara-Mirim.zip;2000;
152;ShapeFile dos Setores censitários do município Charqueadas / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Charqueadas / RS / Sul;Charqueadas.zip;2000;
153;ShapeFile dos Setores censitários do município Chorozinho / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Chorozinho / CE / Nordeste;Chorozinho.zip;2000;
154;ShapeFile dos Setores censitários do município Cidade Ocidental / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cidade Ocidental / GO / Centro-Oeste;Cidade_Ocidental.zip;2000;
155;ShapeFile dos Setores censitários do município Colombo / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Colombo / PR / Sul;Colombo.zip;2000;
156;ShapeFile dos Setores censitários do município Conde / PB / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Conde / PB / Nordeste;Conde.zip;2000;
157;ShapeFile dos Setores censitários do município Confins / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Confins / MG / Sudeste;Confins.zip;2000;
158;ShapeFile dos Setores censitários do município Contagem / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Contagem / MG / Sudeste;Contagem.zip;2000;
159;ShapeFile dos Setores censitários do município Coqueiro Seco / AL / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Coqueiro Seco / AL / Nordeste;Coqueiro_Seco.zip;2000;
160;ShapeFile dos Setores censitários do município Coronel Fabriciano / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Coronel Fabriciano / MG / Sudeste;Coronel_Fabriciano.zip;2000;
161;ShapeFile dos Setores censitários do município Cosmópolis / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cosmópolis / SP / Sudeste;Cosmopolis.zip;2000;
162;ShapeFile dos Setores censitários do município Cotia / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cotia / SP / Sudeste;Cotia.zip;2000;
163;ShapeFile dos Setores censitários do município Criciúma / SC / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Criciúma / SC / Sul;Criciuma.zip;2000;
164;ShapeFile dos Setores censitários do município Cristalina / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cristalina / GO / Centro-Oeste;Cristalina.zip;2000;
165;ShapeFile dos Setores censitários do município Cruz do Espírito Santo / PB / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cruz do Espírito Santo / PB / Nordeste;Cruz_do_Espirito_Santo.zip;2000;
166;ShapeFile dos Setores censitários do município Cubatão / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cubatão / SP / Sudeste;Cubatao.zip;2000;
167;ShapeFile dos Setores censitários do município Cuiabá / MT / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Cuiabá / MT / Centro-Oeste;Cuiaba.zip;2000;
168;ShapeFile dos Setores censitários do município Curitiba / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Curitiba / PR / Sul;Curitiba.zip;2000;
169;ShapeFile dos Setores censitários do município Diadema / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Diadema / SP / Sudeste;Diadema.zip;2000;
170;ShapeFile dos Setores censitários do município Dias d'Ávila / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Dias d'Ávila / BA / Nordeste;Dias_d'avila.zip;2000;
171;ShapeFile dos Setores censitários do município Divinópolis / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Divinópolis / MG / Sudeste;Divinopolis.zip;2000;
172;ShapeFile dos Setores censitários do município Dois Irmãos / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Dois Irmãos / RS / Sul;Dois_Irmaos.zip;2000;
173;ShapeFile dos Setores censitários do município Dourados / MS / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Dourados / MS / Centro-Oeste;Dourados.zip;2000;
174;ShapeFile dos Setores censitários do município Duque de Caxias / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Duque de Caxias / RJ / Sudeste;Duque_de_Caxias.zip;2000;
175;ShapeFile dos Setores censitários do município Eldorado do Sul / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Eldorado do Sul / RS / Sul;Eldorado_do_Sul.zip;2000;
176;ShapeFile dos Setores censitários do município Embu / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Embu / SP / Sudeste;Embu.zip;2000;
177;ShapeFile dos Setores censitários do município Embu-Guaçu / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Embu-Guaçu / SP / Sudeste;Embu-Guacu.zip;2000;
178;ShapeFile dos Setores censitários do município Engenheiro Coelho / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Engenheiro Coelho / SP / Sudeste;Engenheiro_Coelho.zip;2000;
179;ShapeFile dos Setores censitários do município Escada / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Escada / PE / Nordeste;Escada.zip;2000;
180;ShapeFile dos Setores censitários do município Esmeraldas / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Esmeraldas / MG / Sudeste;Esmeraldas.zip;2000;
181;ShapeFile dos Setores censitários do município Estância Velha / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Estância Velha / RS / Sul;Estancia_Velha.zip;2000;
182;ShapeFile dos Setores censitários do município Esteio / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Esteio / RS / Sul;Esteio.zip;2000;
183;ShapeFile dos Setores censitários do município Eusébio / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Eusébio / CE / Nordeste;Eusebio.zip;2000;
184;ShapeFile dos Setores censitários do município Extremoz / RN / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Extremoz / RN / Nordeste;Extremoz.zip;2000;
185;ShapeFile dos Setores censitários do município Fazenda Rio Grande / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Fazenda Rio Grande / PR / Sul;Fazenda_Rio_Grande.zip;2000;
186;ShapeFile dos Setores censitários do município Feira de Santana / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Feira de Santana / BA / Nordeste;Feira_de_Santana.zip;2000;
187;ShapeFile dos Setores censitários do município Ferraz de Vasconcelos / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Ferraz de Vasconcelos / SP / Sudeste;Ferraz_de_Vasconcelos.zip;2000;
188;ShapeFile dos Setores censitários do município Florestal / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Florestal / MG / Sudeste;Florestal.zip;2000;
189;ShapeFile dos Setores censitários do município Florianópolis / SC / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Florianópolis / SC / Sul;Florianopolis.zip;2000;
190;ShapeFile dos Setores censitários do município Formosa / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Formosa / GO / Centro-Oeste;Formosa.zip;2000;
191;ShapeFile dos Setores censitários do município Fortaleza / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Fortaleza / CE / Nordeste;Fortaleza.zip;2000;
